approach,policy,mean_estimate,rmse,std,true_value
standard_is,State-Optimal,0.8659053565323876,0.044183347214690555,0.044176787773369704,0.8666666666666667
standard_is,Uniform,0.45894984614441064,0.00924055697783265,0.00918069006884355,0.46
standard_is,Suboptimal,0.5950479752916965,0.031370412640078046,0.030977092189182636,0.6
standard_is_imputed,State-Optimal,0.8651599068315017,0.011193815015470286,0.01109194164245834,0.8666666666666667
standard_is_imputed,Uniform,0.459473886114519,0.007384902043871788,0.007366137548069935,0.46
standard_is_imputed,Suboptimal,0.6018724702414971,0.009495488278537004,0.009309036085575182,0.6
cstar_is_full,State-Optimal,0.865761633684705,0.005274216808215641,0.0051959867437884775,0.8666666666666667
cstar_is_full,Uniform,0.4597424318010016,0.002547241421693193,0.002534185763367447,0.46
cstar_is_full,Suboptimal,0.6015029191004397,0.005373820950091792,0.005159378429731519,0.6
cis_full,State-Optimal,0.8657616336847062,0.005274216808215481,0.005195986743788522,0.8666666666666667
cis_full,Uniform,0.45974243180100216,0.0025472414216931596,0.002534185763367474,0.46
cis_full,Suboptimal,0.6015029191004405,0.005373820950092057,0.005159378429731554,0.6
cstar_is_budget_0,State-Optimal,0.8651599068315017,0.011193815015470288,0.01109194164245834,0.8666666666666667
cstar_is_budget_0,Uniform,0.459473886114519,0.007384902043871775,0.00736613754806992,0.46
cstar_is_budget_0,Suboptimal,0.6018724702414971,0.009495488278536999,0.009309036085575173,0.6
cis_budget_0,State-Optimal,0.8651599068315025,0.01119381501547019,0.011091941642458355,0.8666666666666667
cis_budget_0,Uniform,0.45947388611451956,0.007384902043871783,0.00736613754806997,0.46
cis_budget_0,Suboptimal,0.6018724702414981,0.00949548827853743,0.00930903608557543,0.6
cstar_is_budget_500,State-Optimal,0.8650789658594562,0.009353784427338255,0.009218052357190178,0.8666666666666667
cstar_is_budget_500,Uniform,0.45979008792094944,0.004914819083033526,0.004910334361122385,0.46
cstar_is_budget_500,Suboptimal,0.6017477714940705,0.007615585365842892,0.007412316457690857,0.6
cis_budget_500,State-Optimal,0.8650789658594574,0.009353784427338037,0.009218052357190138,0.8666666666666667
cis_budget_500,Uniform,0.45979008792094994,0.0049148190830335245,0.004910334361122408,0.46
cis_budget_500,Suboptimal,0.6017477714940714,0.007615585365843209,0.007412316457690964,0.6
cstar_is_budget_1000,State-Optimal,0.8655160100717467,0.008327249818774805,0.00824736800105658,0.8666666666666667
cstar_is_budget_1000,Uniform,0.45991413505880174,0.00405511825964205,0.0040542090858212265,0.46
cstar_is_budget_1000,Suboptimal,0.6015290452931139,0.0065275188964361505,0.006345906037354871,0.6
cis_budget_1000,State-Optimal,0.8655160100717477,0.008327249818774692,0.008247368001056622,0.8666666666666667
cis_budget_1000,Uniform,0.4599141350588023,0.004055118259642054,0.004054209085821242,0.46
cis_budget_1000,Suboptimal,0.6015290452931148,0.006527518896436405,0.006345906037354925,0.6
cstar_is_budget_1500,State-Optimal,0.8651916907366882,0.007503389614333501,0.0073569899898308835,0.8666666666666667
cstar_is_budget_1500,Uniform,0.45978803742313445,0.003289830577185731,0.003282995140507323,0.46
cstar_is_budget_1500,Suboptimal,0.6012772237849442,0.006216147093480312,0.006083517411083517,0.6
cis_budget_1500,State-Optimal,0.8651916907366893,0.007503389614333276,0.007356989989830899,0.8666666666666667
cis_budget_1500,Uniform,0.4597880374231351,0.0032898305771856978,0.0032829951405073275,0.46
cis_budget_1500,Suboptimal,0.6012772237849451,0.0062161470934804786,0.006083517411083518,0.6
cstar_is_budget_2000,State-Optimal,0.8651699878318267,0.0071438908661624724,0.006985351041499772,0.8666666666666667
cstar_is_budget_2000,Uniform,0.4597959433397293,0.0030100040296059632,0.0030030792759504783,0.46
cstar_is_budget_2000,Suboptimal,0.6015213314300408,0.005833263029079025,0.005631385996927393,0.6
cis_budget_2000,State-Optimal,0.865169987831828,0.007143890866162271,0.006985351041499804,0.8666666666666667
cis_budget_2000,Uniform,0.4597959433397298,0.0030100040296059476,0.0030030792759505025,0.46
cis_budget_2000,Suboptimal,0.6015213314300416,0.005833263029079228,0.005631385996927392,0.6
cstar_is_budget_3000,State-Optimal,0.8653263337575501,0.006368346458679,0.006225700306833645,0.8666666666666667
cstar_is_budget_3000,Uniform,0.45959552564671824,0.0025749593850609214,0.002542993576918868,0.46
cstar_is_budget_3000,Suboptimal,0.6010880685037022,0.005523391265095575,0.005415160015972305,0.6
cis_budget_3000,State-Optimal,0.8653263337575514,0.006368346458678803,0.006225700306833698,0.8666666666666667
cis_budget_3000,Uniform,0.45959552564671874,0.0025749593850608655,0.0025429935769189027,0.46
cis_budget_3000,Suboptimal,0.601088068503703,0.005523391265095763,0.005415160015972339,0.6
