approach,budget,overall_rmse,overall_bias,overall_std
uniform_random,500,0.007519881873994798,0.00118179479344388,0.00718023439200114
uniform_random,1000,0.006542058202821148,0.00092185560974406,0.006215827708077559
uniform_random,1500,0.005937573174815274,0.000988054097262751,0.005574500847140575
uniform_random,2000,0.0056012575532138,0.0010740223083838447,0.0052066054381258815
uniform_random,3000,0.00508901115214003,0.0009442919220335466,0.004727951299908273
greedy_pie_only,500,0.005622771820029108,0.0009806808751276486,0.005482748489893612
greedy_pie_only,1000,0.005212120295416184,0.0009767232044974317,0.005061399314851905
greedy_pie_only,1500,0.004847622134395533,0.0008402313085904556,0.004679965144491272
greedy_pie_only,2000,0.00477584746541166,0.0008258673461210194,0.0046010957503479595
greedy_pie_only,3000,0.00457492069832768,0.0008686719989723183,0.004325381942556055
greedy_support_based,500,0.008966917703560553,0.0011279807273157731,0.008491841497177735
greedy_support_based,1000,0.008977322226313268,0.001138635507366111,0.00851009540827064
greedy_support_based,1500,0.008960597275015861,0.0011612987804677233,0.00848027839874177
greedy_support_based,2000,0.008379935957966631,0.0011847814878862735,0.007838243606315779
greedy_support_based,3000,0.0080384106904889,0.0013004496040729396,0.007377973226414526
round_robin,500,0.007594308194381748,0.001014139753971503,0.007253086356400064
round_robin,1000,0.006592895939918319,0.0009307524674169917,0.0062338638913487475
round_robin,1500,0.0056904958633492335,0.0009313553641787653,0.0053365403516787676
round_robin,2000,0.005271481395434018,0.000876451402992399,0.0049379257402273466
round_robin,3000,0.004693581684697549,0.0008090304875584079,0.004391622668669378
high_reward_first,500,0.007733856357577074,0.0011383859954457638,0.0075156767599455
high_reward_first,1000,0.0064671221316275895,0.0012711618296129916,0.006288316799605841
high_reward_first,1500,0.00588043258084594,0.0011817147566243191,0.005720805918283262
high_reward_first,2000,0.005947368075917438,0.0010205058878939484,0.005834387985079767
high_reward_first,3000,0.004927245814114331,0.0010740741990702036,0.004752182264073208
